epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2003.12,0.74389,0.41703,1.02967,0.9813,1,0.97986,0.79618,0.71497,0.3227,0.99569,5.6704e-05,5.6704e-05,5.6704e-05
71,2031.63,0.73302,0.382,1.02008,0.98136,1,0.97896,0.81671,0.68293,0.32712,0.96277,5.56742e-05,5.56742e-05,5.56742e-05
72,2059.74,0.7393,0.39636,1.02597,0.98121,1,0.99118,0.84491,0.65908,0.31281,0.94991,5.46421e-05,5.46421e-05,5.46421e-05
73,2089.51,0.74537,0.38698,1.03164,0.9797,1,0.98952,0.84433,0.70155,0.32743,1.02245,5.36081e-05,5.36081e-05,5.36081e-05
74,2118.1,0.70636,0.37742,1.02611,0.97967,1,0.99079,0.84347,0.69454,0.31167,0.98386,5.25728e-05,5.25728e-05,5.25728e-05
75,2146.82,0.67517,0.35092,0.99986,0.98053,1,0.98347,0.84836,0.65981,0.30751,0.9735,5.15366e-05,5.15366e-05,5.15366e-05
76,2176.56,0.68006,0.36544,0.98988,0.97937,1,0.98041,0.82817,0.69704,0.32398,1.00688,5.05e-05,5.05e-05,5.05e-05
77,2205.45,0.70187,0.37192,1.01109,0.97883,1,0.98846,0.84845,0.65015,0.31412,0.95475,4.94634e-05,4.94634e-05,4.94634e-05
78,2236.97,0.70244,0.36877,1.01274,0.98022,1,0.98563,0.83616,0.71484,0.31916,1.0614,4.84272e-05,4.84272e-05,4.84272e-05
79,2265.28,0.66783,0.35127,0.99309,0.97182,1,0.98045,0.82538,0.68912,0.31489,0.98035,4.73919e-05,4.73919e-05,4.73919e-05
80,2293.59,0.68637,0.3642,1.00974,0.98082,1,0.98311,0.83905,0.69502,0.31662,1.00116,4.63579e-05,4.63579e-05,4.63579e-05
81,2321.68,0.67474,0.35602,1.00343,0.98112,1,0.98721,0.85784,0.65666,0.31198,0.95528,4.53258e-05,4.53258e-05,4.53258e-05
82,2350.87,0.65665,0.35695,0.99828,0.97859,1,0.98984,0.84411,0.6493,0.31366,0.95584,4.4296e-05,4.4296e-05,4.4296e-05
83,2378.83,0.66842,0.35404,1.00202,0.97888,1,0.98523,0.83578,0.6747,0.31174,0.97371,4.32689e-05,4.32689e-05,4.32689e-05
84,2407.12,0.65659,0.36129,0.98533,0.98134,1,0.99054,0.84163,0.67469,0.3081,0.98153,4.22449e-05,4.22449e-05,4.22449e-05
85,2435.1,0.65129,0.33321,0.96869,0.98139,1,0.99281,0.84665,0.68466,0.3083,0.99044,4.12246e-05,4.12246e-05,4.12246e-05
86,2463.32,0.64736,0.34117,0.98367,0.98138,1,0.99437,0.82918,0.76991,0.32493,1.1208,4.02084e-05,4.02084e-05,4.02084e-05
87,2491.76,0.68399,0.36176,1.00951,0.98138,1,0.99266,0.85854,0.6315,0.29011,0.94711,3.91966e-05,3.91966e-05,3.91966e-05
88,2521.3,0.62909,0.34214,0.97295,0.98137,1,0.99372,0.85348,0.67409,0.29643,1.01573,3.81899e-05,3.81899e-05,3.81899e-05
89,2549.32,0.64891,0.3475,0.9843,0.98134,1,0.99199,0.86582,0.60867,0.28169,0.93038,3.71885e-05,3.71885e-05,3.71885e-05
90,2578.2,0.62363,0.33375,0.9618,0.98132,1,0.99333,0.84188,0.67615,0.30277,1.02095,3.61929e-05,3.61929e-05,3.61929e-05
91,2606.41,0.64749,0.35731,0.99182,0.98139,1,0.99251,0.84524,0.64678,0.29475,0.96092,3.52037e-05,3.52037e-05,3.52037e-05
92,2634.49,0.60975,0.33363,0.96852,0.98143,1,0.99343,0.84007,0.68384,0.29742,1.01593,3.42211e-05,3.42211e-05,3.42211e-05
93,2662.5,0.63189,0.3445,0.97867,0.98144,1,0.99018,0.84214,0.71347,0.30525,1.0345,3.32457e-05,3.32457e-05,3.32457e-05
94,2690.65,0.62666,0.33923,0.96796,0.98139,1,0.98643,0.83988,0.68196,0.29538,1.01976,3.22778e-05,3.22778e-05,3.22778e-05
95,2718.94,0.64404,0.33961,0.97665,0.98139,1,0.99101,0.83288,0.71657,0.30026,1.07544,3.1318e-05,3.1318e-05,3.1318e-05
96,2746.87,0.5878,0.31679,0.9469,0.9817,1,0.99464,0.8436,0.69618,0.30195,1.03339,3.03665e-05,3.03665e-05,3.03665e-05
97,2774.93,0.60109,0.32984,0.95354,0.98182,1,0.99455,0.84645,0.68127,0.29222,1.02823,2.94239e-05,2.94239e-05,2.94239e-05
98,2805.11,0.60828,0.33618,0.95365,0.98129,1,0.99389,0.84222,0.66895,0.28708,1.00202,2.84906e-05,2.84906e-05,2.84906e-05
99,2833.23,0.60291,0.3225,0.96703,0.98136,1,0.99259,0.83148,0.70317,0.29548,1.03813,2.75668e-05,2.75668e-05,2.75668e-05
100,2861.51,0.59715,0.32574,0.95794,0.98141,1,0.99069,0.8543,0.62214,0.28607,0.95874,2.66532e-05,2.66532e-05,2.66532e-05
101,2889.39,0.589,0.32149,0.95035,0.98133,1,0.99305,0.8363,0.68422,0.31044,1.05393,2.575e-05,2.575e-05,2.575e-05
102,2917.41,0.57378,0.31596,0.94046,0.98157,1,0.99455,0.84842,0.66925,0.29331,1.02909,2.48577e-05,2.48577e-05,2.48577e-05
103,2945.28,0.58767,0.31229,0.95299,0.98134,1,0.99426,0.84204,0.69518,0.29882,1.05986,2.39766e-05,2.39766e-05,2.39766e-05
104,2973.13,0.58373,0.32297,0.95542,0.98139,1,0.99454,0.84605,0.68504,0.29727,1.03727,2.31071e-05,2.31071e-05,2.31071e-05
